"jurisdiction","week_of_allocations","1st_dose_allocations","2nd_dose_allocations"
"Connecticut","2021-06-21T00:00:00.000","54360","54360"
"Maine","2021-06-21T00:00:00.000","21420","21420"
"Massachusetts","2021-06-21T00:00:00.000","104580","104580"
"New Hampshire","2021-06-21T00:00:00.000","21420","21420"
"Rhode Island","2021-06-21T00:00:00.000","17280","17280"
"Vermont","2021-06-21T00:00:00.000","11070","11070"
"New Jersey","2021-06-21T00:00:00.000","132210","132210"
"New York","2021-06-21T00:00:00.000","167670","167670"
"New York City","2021-06-21T00:00:00.000","128070","128070"
"Puerto Rico","2021-06-21T00:00:00.000","52290","52290"
"U.S. Virgin Islands","2021-06-21T00:00:00.000","3240","3240"
"Delaware","2021-06-21T00:00:00.000","15210","15210"
"District of Columbia","2021-06-21T00:00:00.000","11520","11520"
"Maryland","2021-06-21T00:00:00.000","89370","89370"
"Pennsylvania","2021-06-21T00:00:00.000","170460","170460"
"Philadelphia","2021-06-21T00:00:00.000","24660","24660"
"Virginia","2021-06-21T00:00:00.000","126000","126000"
"West Virginia","2021-06-21T00:00:00.000","28800","28800"
"Alabama","2021-06-21T00:00:00.000","72090","72090"
"Florida","2021-06-21T00:00:00.000","314640","314640"
"Georgia","2021-06-21T00:00:00.000","149490","149490"
"Kentucky","2021-06-21T00:00:00.000","65880","65880"
"Mississippi","2021-06-21T00:00:00.000","44460","44460"
"North Carolina","2021-06-21T00:00:00.000","149940","149940"
"South Carolina","2021-06-21T00:00:00.000","74160","74160"
"Tennessee","2021-06-21T00:00:00.000","98820","98820"
"Chicago","2021-06-21T00:00:00.000","40770","40770"
"Illinois","2021-06-21T00:00:00.000","149490","149490"
"Indiana","2021-06-21T00:00:00.000","97200","97200"
"Michigan","2021-06-21T00:00:00.000","147870","147870"
"Minnesota","2021-06-21T00:00:00.000","81540","81540"
"Ohio","2021-06-21T00:00:00.000","172530","172530"
"Wisconsin","2021-06-21T00:00:00.000","85680","85680"
"Arkansas","2021-06-21T00:00:00.000","44460","44460"
"Louisiana","2021-06-21T00:00:00.000","69120","69120"
"New Mexico","2021-06-21T00:00:00.000","32490","32490"
"Oklahoma","2021-06-21T00:00:00.000","57600","57600"
"Texas","2021-06-21T00:00:00.000","393660","393660"
"Iowa","2021-06-21T00:00:00.000","46530","46530"
"Kansas","2021-06-21T00:00:00.000","42390","42390"
"Missouri","2021-06-21T00:00:00.000","89820","89820"
"Nebraska","2021-06-21T00:00:00.000","28800","28800"
"Colorado","2021-06-21T00:00:00.000","82710","82710"
"Montana","2021-06-21T00:00:00.000","16830","16830"
